topic,top_terms
0,"regret, decision, degree, regret decision, college, time, years, taking, regret taking, didn"
1,"messed, interview, time, big, messed big, manager, ve, got, worried messed, worried"
2,"wish, time, better, work, just, wish better, degree, earlier, things, sooner"
3,"like, feel, feel like, like messed, help feel, help, just, like regret, opportunity, sure"
4,"job, offer, job offer, new, new job, quit, taking, regret taking, accepted, started"
5,"think, think messed, messed, think regret, education, help, messed job, interview, don think, good"
6,"career, messed career, years, path, just, career path, need, school, want, advice"
7,"know, don, know messed, don know, want, just, don want, make, major, right"
